LocalRep,GlobalIdx,Prob,spring_day,spring_night,summer_day,summer_night,fall_day,fall_night,winter_day,winter_night
109,1074,0.0042676421277244,21967.5156,18191.3838,41762.778,36667.164,20539.3422,25538.1684,32756.2698,23580.227399999996
110,4733,0.0050297210791037,24878.085599999995,21732.3342,41762.778,36667.164,23101.990199999997,17677.9464,27149.8092,35063.7342
111,6467,0.0041152263374485,24878.085599999995,34718.6682,29502.7554,36667.164,34847.5962,25855.469999999998,32756.2698,35063.7342
112,2363,0.0044200579180003,17244.0792,21732.3342,22686.340199999995,18437.5302,20539.3422,25855.469999999998,32756.2698,35063.7342
113,1419,0.004724889498552,21967.5156,18191.3838,29502.7554,18437.5302,23101.990199999997,25855.469999999998,27149.8092,23580.227399999996
114,5365,0.0036579789666209,24878.085599999995,18191.3838,41762.778,37980.638399999996,20539.3422,25538.1684,31485.513,21792.8304
115,2048,0.0041152263374485,21967.5156,34718.6682,29502.7554,36667.164,20539.3422,25538.1684,32756.2698,35063.7342
116,3888,0.0044200579180003,17244.0792,34718.6682,41762.778,37980.638399999996,20539.3422,17677.9464,31485.513,23580.227399999996
117,6207,0.0038103947568968,24878.085599999995,34718.6682,41762.778,36667.164,23101.990199999997,25538.1684,27149.8092,23580.227399999996
118,6490,0.0039628105471726,24878.085599999995,34718.6682,29502.7554,18437.5302,20539.3422,25855.469999999998,31485.513,21792.8304
119,67,0.0044200579180003,21967.5156,21732.3342,22686.340199999995,37980.638399999996,34847.5962,25855.469999999998,32756.2698,21792.8304
120,827,0.0044200579180003,21967.5156,18191.3838,22686.340199999995,36667.164,20539.3422,25855.469999999998,27149.8092,35063.7342
121,4807,0.0041152263374485,24878.085599999995,21732.3342,41762.778,18437.5302,23101.990199999997,17677.9464,31485.513,21792.8304
122,5222,0.0044200579180003,24878.085599999995,18191.3838,22686.340199999995,36667.164,23101.990199999997,25855.469999999998,31485.513,35063.7342
123,4751,0.0039628105471726,24878.085599999995,21732.3342,41762.778,36667.164,23101.990199999997,25538.1684,27149.8092,35063.7342
124,4690,0.0044200579180003,24878.085599999995,21732.3342,41762.778,37980.638399999996,34847.5962,25538.1684,31485.513,21792.8304
125,631,0.0041152263374485,21967.5156,21732.3342,29502.7554,36667.164,34847.5962,25855.469999999998,31485.513,21792.8304
126,1031,0.0036579789666209,21967.5156,18191.3838,41762.778,37980.638399999996,34847.5962,17677.9464,32756.2698,35063.7342
127,1909,0.0044200579180003,21967.5156,34718.6682,41762.778,18437.5302,23101.990199999997,25538.1684,31485.513,21792.8304
128,412,0.0036579789666209,21967.5156,21732.3342,41762.778,18437.5302,20539.3422,17677.9464,27149.8092,21792.8304
129,5958,0.0042676421277244,24878.085599999995,34718.6682,22686.340199999995,36667.164,23101.990199999997,25538.1684,31485.513,23580.227399999996
130,2420,0.0041152263374485,17244.0792,21732.3342,22686.340199999995,18437.5302,34847.5962,25855.469999999998,27149.8092,35063.7342
131,4110,0.0042676421277244,17244.0792,34718.6682,41762.778,18437.5302,34847.5962,17677.9464,27149.8092,23580.227399999996
132,5117,0.0041152263374485,24878.085599999995,18191.3838,22686.340199999995,37980.638399999996,20539.3422,25855.469999999998,32756.2698,35063.7342
133,5726,0.0038103947568968,24878.085599999995,18191.3838,29502.7554,36667.164,34847.5962,17677.9464,31485.513,35063.7342
134,5920,0.0033531473860691,24878.085599999995,34718.6682,22686.340199999995,36667.164,20539.3422,17677.9464,27149.8092,21792.8304
135,6144,0.0036579789666209,24878.085599999995,34718.6682,41762.778,37980.638399999996,34847.5962,25855.469999999998,27149.8092,23580.227399999996
136,246,0.003505563176345,21967.5156,21732.3342,41762.778,37980.638399999996,20539.3422,17677.9464,32756.2698,23580.227399999996
