time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,G(i)_POA
20180114:1110,0,51.81,1.03,26.79,2.21,2.14,0,52.84
20180114:1210,0,65.45,1.3,21.73,2.1,2.34,0,66.75
20180114:1310,0,43.63,0.87,14.4,1.65,2.97,0,44.5
20180114:1410,0,7.27,0.14,5.41,1.06,2.83,0,7.41
20180114:1510,0,0,0,0,0.6,2.76,0,0
20180114:1610,0,0,0,0,0.04,2.83,0,0
20180114:1710,0,0,0,0,-0.36,2.9,0,0
20180114:1810,0,0,0,0,-0.79,2.9,0,0
20180114:1910,0,0,0,0,-0.46,2.83,0,0
20180114:2010,0,0,0,0,-0.6,2.76,0,0
20180114:2110,0,0,0,0,-0.86,2.69,0,0
20180114:2210,0,0,0,0,-1.18,2.48,0,0
20180114:2310,0,0,0,0,-1.39,2.28,0,0
20180115:0010,0,0,0,0,-1.78,2,0,0
20180115:0110,0,0,0,0,-2.27,1.93,0,0
20180115:0210,0,0,0,0,-2.72,1.66,0,0
20180115:0310,0,0,0,0,-3.11,1.31,0,0
20180115:0410,0,0,0,0,-3.69,1.1,0,0
20180115:0510,0,0,0,0,-4.28,0.9,0,0
20180115:0610,26.76,66.82,1.37,9.2,-3.85,0.83,0,94.95
20180115:0710,2.18,93.97,1.88,17.62,-1.44,1.52,0,98.03
20180115:0810,0,123.63,2.46,24.16,-0.33,1.66,0,126.09
20180115:0910,0,126.35,2.51,28.19,0.47,1.86,0,128.86
20180115:1010,0,79.99,1.59,29.17,1.35,2.21,0,81.58
20180115:1110,22.63,188.82,3.89,26.98,1.85,2.41,0,215.34
20180115:1210,0,67.27,1.34,21.92,1.88,2.21,0,68.61
20180115:1310,0,47.27,0.94,14.59,1.9,1.86,0,48.21
20180115:1410,0,7.27,0.14,5.6,1.52,1.86,0,7.41
20180115:1510,0,0,0,0,0.56,1.45,0,0
20180115:1610,0,0,0,0,-0.92,1.03,0,0
20180115:1710,0,0,0,0,-0.67,0.76,0,0
20180115:1810,0,0,0,0,-1.58,0.9,0,0
20180115:1910,0,0,0,0,-2.45,0.9,0,0
20180115:2010,0,0,0,0,-3.47,1.24,0,0
20180115:2110,0,0,0,0,-4.21,1.52,0,0
20180115:2210,0,0,0,0,-4.6,1.72,0,0
20180115:2310,0,0,0,0,-4.6,1.79,0,0
20180116:0010,0,0,0,0,-4.5,1.86,0,0
20180116:0110,0,0,0,0,-4.4,1.93,0,0
20180116:0210,0,0,0,0,-4.28,2,0,0
20180116:0310,0,0,0,0,-4.07,2.07,0,0
20180116:0410,0,0,0,0,-3.61,2.14,0,0
20180116:0510,0,0,0,0,-2.83,2.21,0,0
20180116:0610,0,39.09,0.78,9.29,-2.12,2.07,0,39.87
20180116:0710,0,50.91,1.01,17.74,0.24,2.21,0,51.92
20180116:0810,0,61.81,1.23,24.3,2.15,2.62,0,63.04
20180116:0910,0,68.18,1.36,28.35,3.27,2.9,0,69.54
20180116:1010,1.84,155.71,3.11,29.37,2.97,3.31,0,160.66
20180116:1110,0,43.63,0.87,27.19,2.21,2.69,0,44.5
20180116:1210,0,74.54,1.48,22.13,1.43,2.48,0,76.02
20180116:1310,0,28.18,0.56,14.79,1.77,2.14,0,28.74
20180116:1410,0,20,0.4,5.79,1.35,1.72,0,20.4
20180116:1510,0,0,0,0,1.53,2,0,0
20180116:1610,0,0,0,0,1.4,2.34,0,0
20180116:1710,0,0,0,0,1.14,2.55,0,0
20180116:1810,0,0,0,0,1.25,2.41,0,0
20180116:1910,0,0,0,0,0.78,2.07,0,0
20180116:2010,0,0,0,0,1.02,2,0,0
20180116:2110,0,0,0,0,1.14,2.14,0,0
20180116:2210,0,0,0,0,0.86,2.07,0,0
20180116:2310,0,0,0,0,0.57,1.93,0,0
20180117:0010,0,0,0,0,0.07,1.93,0,0
20180117:0110,0,0,0,0,0.2,1.79,0,0
20180117:0210,0,0,0,0,-0.24,1.86,0,0
20180117:0310,0,0,0,0,-0.55,1.93,0,0
20180117:0410,0,0,0,0,-0.3,1.93,0,0
20180117:0510,0,0,0,0,-0.18,1.93,0,0
20180117:0610,43.69,73.46,1.54,9.38,0.34,1.86,0,118.69
20180117:0710,221.95,169.75,4.34,17.86,1.58,2.28,0,396.04
20180117:0810,25.11,174.87,3.62,24.45,3.39,3.59,0,203.6
20180117:0910,301.01,267.87,7.09,28.53,3.45,4.48,0,575.97
20180117:1010,435.32,262.57,8.05,29.56,4.39,4.83,0,705.94
20180117:1110,179.31,252.01,5.99,27.39,5.67,4.62,0,437.31
20180117:1210,0,103.63,2.06,22.34,5.69,4.28,0,105.69
20180117:1310,0,28.18,0.56,14.99,5.48,3.86,0,28.74
20180117:1410,15.29,35.72,0.72,5.99,5.19,2.9,0,51.73
20180117:1510,0,0,0,0,3.73,2.21,0,0
20180117:1610,0,0,0,0,2.59,2.34,0,0
20180117:1710,0,0,0,0,2.04,2.62,0,0
20180117:1810,0,0,0,0,1.7,2.9,0,0
20180117:1910,0,0,0,0,1.8,2.83,0,0
20180117:2010,0,0,0,0,2.15,3.45,0,0
20180117:2110,0,0,0,0,3.34,4.62,0,0
20180117:2210,0,0,0,0,3.72,5.24,0,0
20180117:2310,0,0,0,0,2.84,5.59,0,0
20180118:0010,0,0,0,0,3.14,6,0,0
20180118:0110,0,0,0,0,3.41,6,0,0
20180118:0210,0,0,0,0,3.22,5.66,0,0
20180118:0310,0,0,0,0,3.25,5.31,0,0
20180118:0410,0,0,0,0,3.27,5.45,0,0
20180118:0510,0,0,0,0,3.51,5.79,0,0
20180118:0610,14.41,60.14,1.23,9.48,3.8,6.21,0,75.78
20180118:0710,0,23.63,0.47,17.98,4.35,4.97,0,24.1
20180118:0810,0,50.91,1.01,24.61,4.89,4.83,0,51.92
20180118:0910,0,88.18,1.75,28.71,5.69,4.62,0,89.93
20180118:1010,0,49.09,0.98,29.77,6.43,4.97,0,50.07
20180118:1110,280.62,256.55,6.73,27.61,5.66,8.21,0,543.9
20180118:1210,0,57.27,1.14,22.55,1.79,5.31,0,58.41
